기준월,지점ID,지점명,담당자ID,담당자명,병원ID,병원명,품목ID,품목명,처방수량,처방금액
2025-01,B001,서울1지점,R0001,최민수,H00051,송도약국,P001,아세트론정,8,1087630
2025-01,B001,서울1지점,R0001,최민수,H00051,송도약국,P002,리바코프캡슐,9,2093810
2025-01,B001,서울1지점,R0001,최민수,H00051,송도약국,P004,카디오엑스,8,2611993
2025-01,B001,서울1지점,R0001,최민수,H00051,송도약국,P005,글루코밸런스,1,105213
2025-01,B001,서울1지점,R0001,최민수,H00090,온누리의원,P002,리바코프캡슐,3,1768374
2025-01,B001,서울1지점,R0001,최민수,H00090,온누리의원,P003,네오프라졸,5,1203477
2025-01,B001,서울1지점,R0001,최민수,H00090,온누리의원,P004,카디오엑스,4,1546621
2025-01,B001,서울1지점,R0001,최민수,H00071,미래정형외과,P001,아세트론정,15,4252194
2025-01,B001,서울1지점,R0001,최민수,H00071,미래정형외과,P002,리바코프캡슐,11,2312192
2025-01,B001,서울1지점,R0001,최민수,H00071,미래정형외과,P004,카디오엑스,8,2115095
2025-01,B001,서울1지점,R0001,최민수,H00071,미래정형외과,P005,글루코밸런스,7,2797625
2025-01,B001,서울1지점,R0001,최민수,H00041,온누리한의원,P001,아세트론정,6,2855684
2025-01,B001,서울1지점,R0001,최민수,H00041,온누리한의원,P003,네오프라졸,8,4088189
2025-01,B001,서울1지점,R0001,최민수,H00041,온누리한의원,P004,카디오엑스,7,1126134
2025-01,B001,서울1지점,R0001,최민수,H00120,송도가정의학과,P001,아세트론정,4,1099767
2025-01,B001,서울1지점,R0001,최민수,H00120,송도가정의학과,P002,리바코프캡슐,4,1146712
2025-01,B001,서울1지점,R0001,최민수,H00120,송도가정의학과,P003,네오프라졸,6,1669941
2025-01,B001,서울1지점,R0001,최민수,H00120,송도가정의학과,P004,카디오엑스,22,5518123
2025-01,B001,서울1지점,R0001,최민수,H00120,송도가정의학과,P005,글루코밸런스,17,4293824
2025-01,B001,서울1지점,R0001,최민수,H00011,서울피부과,P001,아세트론정,1,905102
2025-01,B001,서울1지점,R0001,최민수,H00011,서울피부과,P002,리바코프캡슐,6,1939698
2025-01,B001,서울1지점,R0001,최민수,H00011,서울피부과,P004,카디오엑스,1,525553
2025-01,B001,서울1지점,R0001,최민수,H00011,서울피부과,P005,글루코밸런스,2,97548
2025-01,B001,서울1지점,R0001,최민수,H00074,우리정형외과,P001,아세트론정,0,750966
2025-01,B001,서울1지점,R0001,최민수,H00074,우리정형외과,P002,리바코프캡슐,6,3110942
2025-01,B001,서울1지점,R0001,최민수,H00074,우리정형외과,P003,네오프라졸,15,2930156
2025-01,B001,서울1지점,R0001,최민수,H00074,우리정형외과,P005,글루코밸런스,3,949251
2025-01,B001,서울1지점,R0001,최민수,H00028,연세정형외과,P001,아세트론정,10,2183141
2025-01,B001,서울1지점,R0001,최민수,H00028,연세정형외과,P003,네오프라졸,3,906525
2025-01,B001,서울1지점,R0001,최민수,H00028,연세정형외과,P005,글루코밸런스,18,3946398
2025-01,B001,서울1지점,R0001,최민수,H00061,강남내과5,P001,아세트론정,4,810499
2025-01,B001,서울1지점,R0001,최민수,H00061,강남내과5,P002,리바코프캡슐,10,2471046
2025-01,B001,서울1지점,R0001,최민수,H00061,강남내과5,P004,카디오엑스,12,2421419
2025-01,B001,서울1지점,R0001,최민수,H00089,경기가정의학과,P002,리바코프캡슐,3,879450
2025-01,B001,서울1지점,R0001,최민수,H00089,경기가정의학과,P004,카디오엑스,5,1023220
2025-01,B001,서울1지점,R0001,최민수,H00089,경기가정의학과,P005,글루코밸런스,14,2674878
2025-01,B001,서울1지점,R0001,최민수,H00107,가온의료원9,P003,네오프라졸,12,2766441
2025-01,B001,서울1지점,R0001,최민수,H00107,가온의료원9,P005,글루코밸런스,5,938483
2025-01,B001,서울1지점,R0001,최민수,H00029,미래약국,P001,아세트론정,6,3568244
2025-01,B001,서울1지점,R0001,최민수,H00029,미래약국,P002,리바코프캡슐,27,4544428
2025-01,B001,서울1지점,R0001,최민수,H00029,미래약국,P003,네오프라졸,10,2354896
2025-01,B001,서울1지점,R0001,최민수,H00029,미래약국,P004,카디오엑스,16,3947451
2025-01,B001,서울1지점,R0001,최민수,H00029,미래약국,P005,글루코밸런스,5,1193522
2025-01,B001,서울1지점,R0001,최민수,H00100,우리병원,P001,아세트론정,7,1011265
2025-01,B001,서울1지점,R0001,최민수,H00100,우리병원,P004,카디오엑스,9,2413172
2025-01,B001,서울1지점,R0001,최민수,H00150,경기가정의학과,P001,아세트론정,2,769533
2025-01,B001,서울1지점,R0001,최민수,H00150,경기가정의학과,P002,리바코프캡슐,5,1083260
2025-01,B001,서울1지점,R0001,최민수,H00150,경기가정의학과,P003,네오프라졸,8,2615672
2025-01,B001,서울1지점,R0001,최민수,H00150,경기가정의학과,P004,카디오엑스,0,410459
2025-01,B001,서울1지점,R0001,최민수,H00150,경기가정의학과,P005,글루코밸런스,3,1019759
2025-01,B001,서울1지점,R0001,최민수,H00110,서울가정의학과,P002,리바코프캡슐,5,1386624
2025-01,B001,서울1지점,R0001,최민수,H00048,우리병원,P003,네오프라졸,1,260304
2025-01,B001,서울1지점,R0001,최민수,H00048,우리병원,P004,카디오엑스,2,97213
2025-01,B001,서울1지점,R0001,최민수,H00122,강남가정의학과,P002,리바코프캡슐,12,1749435
2025-01,B001,서울1지점,R0001,최민수,H00122,강남가정의학과,P003,네오프라졸,0,141610
2025-01,B001,서울1지점,R0001,최민수,H00122,강남가정의학과,P004,카디오엑스,2,377830
2025-01,B001,서울1지점,R0001,최민수,H00122,강남가정의학과,P005,글루코밸런스,3,1324486
2025-01,B001,서울1지점,R0001,최민수,H00079,새봄내과,P002,리바코프캡슐,4,864094
2025-01,B001,서울1지점,R0001,최민수,H00079,새봄내과,P004,카디오엑스,4,1149241
2025-01,B001,서울1지점,R0001,최민수,H00079,새봄내과,P005,글루코밸런스,3,1921712
2025-01,B001,서울1지점,R0001,최민수,H00057,온누리한의원,P001,아세트론정,18,3696799
2025-01,B001,서울1지점,R0001,최민수,H00057,온누리한의원,P003,네오프라졸,3,1178279
2025-01,B001,서울1지점,R0001,최민수,H00057,온누리한의원,P004,카디오엑스,6,1358810
2025-01,B001,서울1지점,R0001,최민수,H00057,온누리한의원,P005,글루코밸런스,8,2418266
2025-01,B001,서울1지점,R0001,최민수,H00165,중앙내과,P001,아세트론정,2,735590
2025-01,B001,서울1지점,R0001,최민수,H00165,중앙내과,P002,리바코프캡슐,2,663974
2025-01,B001,서울1지점,R0001,최민수,H00165,중앙내과,P003,네오프라졸,3,622201
2025-01,B001,서울1지점,R0001,최민수,H00063,온누리의료원4,P001,아세트론정,8,2418800
2025-01,B001,서울1지점,R0001,최민수,H00063,온누리의료원4,P002,리바코프캡슐,11,1511952
2025-01,B001,서울1지점,R0001,최민수,H00063,온누리의료원4,P003,네오프라졸,13,3693029
2025-01,B001,서울1지점,R0001,최민수,H00063,온누리의료원4,P004,카디오엑스,5,910442
2025-01,B001,서울1지점,R0001,최민수,H00117,삼성병원,P001,아세트론정,7,1248082
2025-01,B001,서울1지점,R0001,최민수,H00117,삼성병원,P004,카디오엑스,18,3010250
2025-01,B001,서울1지점,R0001,최민수,H00034,분당병원,P001,아세트론정,8,2785711
2025-01,B001,서울1지점,R0001,최민수,H00034,분당병원,P003,네오프라졸,7,1765599
2025-01,B001,서울1지점,R0001,최민수,H00034,분당병원,P004,카디오엑스,8,791814
2025-01,B001,서울1지점,R0001,최민수,H00034,분당병원,P005,글루코밸런스,12,2753508
2025-01,B001,서울1지점,R0001,최민수,H00004,분당병원,P002,리바코프캡슐,15,3359841
2025-01,B001,서울1지점,R0001,최민수,H00004,분당병원,P003,네오프라졸,7,1995512
2025-01,B001,서울1지점,R0001,최민수,H00004,분당병원,P004,카디오엑스,23,5302309
2025-01,B001,서울1지점,R0001,최민수,H00004,분당병원,P005,글루코밸런스,14,2558017
2025-01,B001,서울1지점,R0001,최민수,H00001,부산내과,P001,아세트론정,0,167708
2025-01,B001,서울1지점,R0001,최민수,H00001,부산내과,P003,네오프라졸,2,361986
2025-01,B001,서울1지점,R0001,최민수,H00001,부산내과,P004,카디오엑스,3,777881
2025-01,B001,서울1지점,R0001,최민수,H00001,부산내과,P005,글루코밸런스,2,42788
2025-01,B001,서울1지점,R0001,최민수,H00091,부산내과,P001,아세트론정,4,1230601
2025-01,B001,서울1지점,R0001,최민수,H00091,부산내과,P004,카디오엑스,13,2946643
2025-01,B001,서울1지점,R0001,최민수,H00143,서울정형외과,P004,카디오엑스,3,875372
2025-01,B001,서울1지점,R0001,최민수,H00143,서울정형외과,P005,글루코밸런스,1,612654
2025-01,B001,서울1지점,R0001,최민수,H00175,분당피부과,P003,네오프라졸,1,442798
2025-01,B001,서울1지점,R0001,최민수,H00175,분당피부과,P004,카디오엑스,16,3705921
2025-01,B001,서울1지점,R0001,최민수,H00175,분당피부과,P005,글루코밸런스,15,3336182
2025-01,B001,서울1지점,R0001,최민수,H00025,성모한의원,P001,아세트론정,18,3352527
2025-01,B001,서울1지점,R0001,최민수,H00025,성모한의원,P002,리바코프캡슐,8,1979548
2025-01,B001,서울1지점,R0001,최민수,H00025,성모한의원,P003,네오프라졸,29,6545305
2025-01,B001,서울1지점,R0001,최민수,H00025,성모한의원,P004,카디오엑스,6,1772041
2025-01,B001,서울1지점,R0001,최민수,H00025,성모한의원,P005,글루코밸런스,2,759043
2025-01,B001,서울1지점,R0001,최민수,H00010,새봄피부과,P001,아세트론정,4,1532569
2025-01,B001,서울1지점,R0001,최민수,H00010,새봄피부과,P002,리바코프캡슐,9,2876441
2025-01,B001,서울1지점,R0001,최민수,H00010,새봄피부과,P003,네오프라졸,3,1662464
2025-01,B001,서울1지점,R0001,최민수,H00010,새봄피부과,P004,카디오엑스,1,249820
2025-01,B001,서울1지점,R0001,최민수,H00010,새봄피부과,P005,글루코밸런스,6,1236674
2025-01,B001,서울1지점,R0001,최민수,H00095,강남의료원,P001,아세트론정,3,1043848
2025-01,B001,서울1지점,R0001,최민수,H00095,강남의료원,P005,글루코밸런스,2,688684
2025-01,B001,서울1지점,R0001,최민수,H00020,고려가정의학과4,P001,아세트론정,10,3469266
2025-01,B001,서울1지점,R0001,최민수,H00020,고려가정의학과4,P004,카디오엑스,8,2078061
2025-01,B001,서울1지점,R0001,최민수,H00020,고려가정의학과4,P005,글루코밸런스,2,1036025
2025-01,B001,서울1지점,R0001,최민수,H00126,경기한의원,P001,아세트론정,17,3826684
2025-01,B001,서울1지점,R0001,최민수,H00126,경기한의원,P002,리바코프캡슐,5,681497
2025-01,B001,서울1지점,R0001,최민수,H00126,경기한의원,P003,네오프라졸,12,2246547
2025-01,B001,서울1지점,R0001,최민수,H00056,연세정형외과,P001,아세트론정,3,509562
2025-01,B001,서울1지점,R0001,최민수,H00056,연세정형외과,P005,글루코밸런스,11,2620559
2025-01,B001,서울1지점,R0001,최민수,H00040,부산한의원8,P001,아세트론정,11,2018251
2025-01,B001,서울1지점,R0001,최민수,H00040,부산한의원8,P002,리바코프캡슐,0,228062
2025-01,B001,서울1지점,R0001,최민수,H00040,부산한의원8,P003,네오프라졸,2,458577
2025-01,B001,서울1지점,R0001,최민수,H00040,부산한의원8,P004,카디오엑스,6,1646613
2025-01,B001,서울1지점,R0001,최민수,H00040,부산한의원8,P005,글루코밸런스,0,415395
2025-01,B001,서울1지점,R0001,최민수,H00039,드림약국4,P003,네오프라졸,15,3611107
2025-01,B001,서울1지점,R0001,최민수,H00039,드림약국4,P004,카디오엑스,3,629412
2025-01,B001,서울1지점,R0001,최민수,H00039,드림약국4,P005,글루코밸런스,8,1972805
2025-01,B001,서울1지점,R0001,최민수,H00145,성모한의원,P001,아세트론정,2,781292
2025-01,B001,서울1지점,R0001,최민수,H00145,성모한의원,P003,네오프라졸,2,766962
2025-01,B001,서울1지점,R0001,최민수,H00145,성모한의원,P004,카디오엑스,9,2515800
2025-01,B001,서울1지점,R0001,최민수,H00145,성모한의원,P005,글루코밸런스,3,1489440
2025-01,B001,서울1지점,R0001,최민수,H00081,온누리한의원,P004,카디오엑스,16,3925106
2025-01,B001,서울1지점,R0001,최민수,H00081,온누리한의원,P005,글루코밸런스,5,1944343
2025-01,B001,서울1지점,R0001,최민수,H00054,삼성약국2,P002,리바코프캡슐,11,2319993
2025-01,B001,서울1지점,R0001,최민수,H00054,삼성약국2,P004,카디오엑스,7,1964537
2025-01,B001,서울1지점,R0001,최민수,H00054,삼성약국2,P005,글루코밸런스,12,4134616
2025-01,B001,서울1지점,R0002,송도석,H00165,중앙내과,P001,아세트론정,9,3947758
2025-01,B001,서울1지점,R0002,송도석,H00165,중앙내과,P002,리바코프캡슐,3,1131861
2025-01,B001,서울1지점,R0002,송도석,H00165,중앙내과,P005,글루코밸런스,10,3055763
2025-01,B001,서울1지점,R0002,송도석,H00117,삼성병원,P001,아세트론정,14,3224247
2025-01,B001,서울1지점,R0002,송도석,H00117,삼성병원,P002,리바코프캡슐,4,1977687
2025-01,B001,서울1지점,R0002,송도석,H00117,삼성병원,P003,네오프라졸,8,1743449
2025-01,B001,서울1지점,R0002,송도석,H00117,삼성병원,P004,카디오엑스,6,1305080
2025-01,B001,서울1지점,R0002,송도석,H00117,삼성병원,P005,글루코밸런스,3,588517
2025-01,B001,서울1지점,R0002,송도석,H00112,새봄의원,P001,아세트론정,6,926917
2025-01,B001,서울1지점,R0002,송도석,H00112,새봄의원,P003,네오프라졸,1,305241
2025-01,B001,서울1지점,R0002,송도석,H00112,새봄의원,P004,카디오엑스,4,617221
2025-01,B001,서울1지점,R0002,송도석,H00112,새봄의원,P005,글루코밸런스,6,1825037
2025-01,B001,서울1지점,R0002,송도석,H00107,가온의료원9,P001,아세트론정,3,713516
2025-01,B001,서울1지점,R0002,송도석,H00107,가온의료원9,P003,네오프라졸,20,4192599
2025-01,B001,서울1지점,R0002,송도석,H00107,가온의료원9,P004,카디오엑스,8,1501211
2025-01,B001,서울1지점,R0002,송도석,H00107,가온의료원9,P005,글루코밸런스,3,599656
2025-01,B001,서울1지점,R0002,송도석,H00012,부산한의원,P001,아세트론정,10,2146640
2025-01,B001,서울1지점,R0002,송도석,H00012,부산한의원,P003,네오프라졸,7,1551193
2025-01,B001,서울1지점,R0002,송도석,H00012,부산한의원,P004,카디오엑스,9,3160055
2025-01,B001,서울1지점,R0002,송도석,H00047,우리가정의학과,P002,리바코프캡슐,3,1447333
2025-01,B001,서울1지점,R0002,송도석,H00047,우리가정의학과,P003,네오프라졸,4,1562699
2025-01,B001,서울1지점,R0002,송도석,H00047,우리가정의학과,P005,글루코밸런스,4,994191
2025-01,B001,서울1지점,R0002,송도석,H00025,성모한의원,P001,아세트론정,24,6713380
2025-01,B001,서울1지점,R0002,송도석,H00025,성모한의원,P002,리바코프캡슐,9,2216885
2025-01,B001,서울1지점,R0002,송도석,H00025,성모한의원,P004,카디오엑스,1,830991
2025-01,B001,서울1지점,R0002,송도석,H00025,성모한의원,P005,글루코밸런스,6,1178500
2025-01,B001,서울1지점,R0002,송도석,H00054,삼성약국2,P001,아세트론정,5,1415271
2025-01,B001,서울1지점,R0002,송도석,H00054,삼성약국2,P002,리바코프캡슐,6,1416656
2025-01,B001,서울1지점,R0002,송도석,H00054,삼성약국2,P004,카디오엑스,3,667366
2025-01,B001,서울1지점,R0002,송도석,H00054,삼성약국2,P005,글루코밸런스,4,706498
2025-01,B001,서울1지점,R0002,송도석,H00175,분당피부과,P002,리바코프캡슐,5,632123
2025-01,B001,서울1지점,R0002,송도석,H00175,분당피부과,P003,네오프라졸,15,3928621
2025-01,B001,서울1지점,R0002,송도석,H00175,분당피부과,P004,카디오엑스,11,2792821
2025-01,B001,서울1지점,R0002,송도석,H00175,분당피부과,P005,글루코밸런스,0,487310
2025-01,B001,서울1지점,R0002,송도석,H00077,연세가정의학과,P001,아세트론정,9,3028790
2025-01,B001,서울1지점,R0002,송도석,H00077,연세가정의학과,P002,리바코프캡슐,13,2874759
2025-01,B001,서울1지점,R0002,송도석,H00077,연세가정의학과,P004,카디오엑스,3,1025261
2025-01,B001,서울1지점,R0002,송도석,H00077,연세가정의학과,P005,글루코밸런스,0,202224
2025-01,B001,서울1지점,R0002,송도석,H00123,새봄병원,P001,아세트론정,11,2791323
2025-01,B001,서울1지점,R0002,송도석,H00123,새봄병원,P002,리바코프캡슐,13,3257553
2025-01,B001,서울1지점,R0002,송도석,H00123,새봄병원,P003,네오프라졸,12,2815339
2025-01,B001,서울1지점,R0002,송도석,H00121,삼성내과,P001,아세트론정,23,5540491
2025-01,B001,서울1지점,R0002,송도석,H00121,삼성내과,P002,리바코프캡슐,4,858185
2025-01,B001,서울1지점,R0002,송도석,H00121,삼성내과,P003,네오프라졸,4,1727746
2025-01,B001,서울1지점,R0002,송도석,H00121,삼성내과,P005,글루코밸런스,17,2929852
2025-01,B001,서울1지점,R0002,송도석,H00176,해운대정형외과,P002,리바코프캡슐,26,5592270
2025-01,B001,서울1지점,R0002,송도석,H00176,해운대정형외과,P003,네오프라졸,10,2302550
2025-01,B001,서울1지점,R0002,송도석,H00176,해운대정형외과,P004,카디오엑스,10,1616850
2025-01,B001,서울1지점,R0002,송도석,H00022,우리정형외과,P002,리바코프캡슐,2,255454
2025-01,B001,서울1지점,R0002,송도석,H00022,우리정형외과,P003,네오프라졸,5,443085
2025-01,B001,서울1지점,R0002,송도석,H00022,우리정형외과,P005,글루코밸런스,1,414626
2025-01,B001,서울1지점,R0002,송도석,H00050,온누리한의원,P002,리바코프캡슐,5,619135
2025-01,B001,서울1지점,R0002,송도석,H00050,온누리한의원,P003,네오프라졸,5,1526643
2025-01,B001,서울1지점,R0002,송도석,H00050,온누리한의원,P004,카디오엑스,12,1925486
2025-01,B001,서울1지점,R0002,송도석,H00050,온누리한의원,P005,글루코밸런스,7,1448717
2025-01,B001,서울1지점,R0002,송도석,H00133,분당병원,P001,아세트론정,8,1175566
2025-01,B001,서울1지점,R0002,송도석,H00133,분당병원,P002,리바코프캡슐,7,1782875
2025-01,B001,서울1지점,R0002,송도석,H00133,분당병원,P003,네오프라졸,2,1070037
2025-01,B001,서울1지점,R0002,송도석,H00133,분당병원,P004,카디오엑스,7,1530194
2025-01,B001,서울1지점,R0002,송도석,H00046,서울가정의학과,P001,아세트론정,8,1701934
2025-01,B001,서울1지점,R0002,송도석,H00046,서울가정의학과,P002,리바코프캡슐,6,1412940
2025-01,B001,서울1지점,R0002,송도석,H00046,서울가정의학과,P003,네오프라졸,3,511755
2025-01,B001,서울1지점,R0002,송도석,H00046,서울가정의학과,P004,카디오엑스,6,1709189
2025-01,B001,서울1지점,R0002,송도석,H00046,서울가정의학과,P005,글루코밸런스,13,3312287
2025-01,B001,서울1지점,R0002,송도석,H00148,부산한의원,P001,아세트론정,14,2824414
2025-01,B001,서울1지점,R0002,송도석,H00148,부산한의원,P002,리바코프캡슐,3,1711987
2025-01,B001,서울1지점,R0002,송도석,H00148,부산한의원,P003,네오프라졸,2,405746
2025-01,B001,서울1지점,R0002,송도석,H00148,부산한의원,P004,카디오엑스,0,543581
2025-01,B001,서울1지점,R0002,송도석,H00148,부산한의원,P005,글루코밸런스,6,1512899
2025-01,B001,서울1지점,R0002,송도석,H00027,가온한의원,P002,리바코프캡슐,1,475591
2025-01,B001,서울1지점,R0002,송도석,H00027,가온한의원,P003,네오프라졸,5,1526173
2025-01,B001,서울1지점,R0002,송도석,H00027,가온한의원,P005,글루코밸런스,0,1080925
2025-01,B001,서울1지점,R0002,송도석,H00003,새봄한의원,P001,아세트론정,22,3966612
2025-01,B001,서울1지점,R0002,송도석,H00003,새봄한의원,P002,리바코프캡슐,4,1297053
2025-01,B001,서울1지점,R0002,송도석,H00003,새봄한의원,P003,네오프라졸,4,716717
2025-01,B001,서울1지점,R0002,송도석,H00003,새봄한의원,P004,카디오엑스,1,773827
2025-01,B001,서울1지점,R0002,송도석,H00003,새봄한의원,P005,글루코밸런스,5,1332851
2025-01,B001,서울1지점,R0002,송도석,H00018,서울한의원,P002,리바코프캡슐,7,1366894
2025-01,B001,서울1지점,R0002,송도석,H00018,서울한의원,P003,네오프라졸,1,459254
2025-01,B001,서울1지점,R0002,송도석,H00018,서울한의원,P004,카디오엑스,9,2448427
2025-01,B001,서울1지점,R0002,송도석,H00129,한빛의원,P002,리바코프캡슐,7,2483392
2025-01,B001,서울1지점,R0002,송도석,H00129,한빛의원,P003,네오프라졸,0,271485
2025-01,B001,서울1지점,R0002,송도석,H00129,한빛의원,P004,카디오엑스,1,742034
2025-01,B001,서울1지점,R0002,송도석,H00129,한빛의원,P005,글루코밸런스,1,347202
2025-01,B001,서울1지점,R0002,송도석,H00096,가온정형외과4,P001,아세트론정,11,2257169
2025-01,B001,서울1지점,R0002,송도석,H00096,가온정형외과4,P003,네오프라졸,13,1889025
2025-01,B001,서울1지점,R0002,송도석,H00096,가온정형외과4,P004,카디오엑스,6,1005015
2025-01,B001,서울1지점,R0002,송도석,H00096,가온정형외과4,P005,글루코밸런스,27,5815689
2025-01,B001,서울1지점,R0002,송도석,H00154,삼성병원,P001,아세트론정,1,353225
2025-01,B001,서울1지점,R0002,송도석,H00154,삼성병원,P002,리바코프캡슐,12,2261581
2025-01,B001,서울1지점,R0002,송도석,H00154,삼성병원,P004,카디오엑스,9,1787636
2025-01,B001,서울1지점,R0002,송도석,H00100,우리병원,P001,아세트론정,11,3002138
2025-01,B001,서울1지점,R0002,송도석,H00100,우리병원,P003,네오프라졸,3,969074
2025-01,B001,서울1지점,R0002,송도석,H00100,우리병원,P004,카디오엑스,2,578884
2025-01,B001,서울1지점,R0002,송도석,H00100,우리병원,P005,글루코밸런스,9,2145068
2025-01,B001,서울1지점,R0002,송도석,H00033,미래한의원2,P003,네오프라졸,3,865910
2025-01,B001,서울1지점,R0002,송도석,H00033,미래한의원2,P004,카디오엑스,3,733201
2025-01,B001,서울1지점,R0002,송도석,H00070,우리한의원,P001,아세트론정,17,4092624
2025-01,B001,서울1지점,R0002,송도석,H00070,우리한의원,P003,네오프라졸,2,401041
2025-01,B001,서울1지점,R0002,송도석,H00016,온누리약국,P002,리바코프캡슐,11,2657190
2025-01,B001,서울1지점,R0002,송도석,H00016,온누리약국,P003,네오프라졸,5,1058501
2025-01,B001,서울1지점,R0002,송도석,H00016,온누리약국,P004,카디오엑스,5,2162785
